date    close
25-Oct-07   182.78
26-Oct-07   184.70
29-Oct-07   185.09
30-Oct-07   187.00
31-Oct-07   189.95
1-Nov-07    187.44
2-Nov-07    187.87
5-Nov-07    186.18
6-Nov-07    191.79
7-Nov-07    186.30
8-Nov-07    175.47
9-Nov-07    165.37
12-Nov-07   153.76
13-Nov-07   169.96
14-Nov-07   166.11
15-Nov-07   164.30
16-Nov-07   166.39
19-Nov-07   163.95
20-Nov-07   168.85
21-Nov-07   168.46
23-Nov-07   171.54
26-Nov-07   172.54
27-Nov-07   174.81
28-Nov-07   180.22
29-Nov-07   184.29
30-Nov-07   182.22
3-Dec-07    178.86
4-Dec-07    179.81
5-Dec-07    185.50
6-Dec-07    189.95
7-Dec-07    194.30
10-Dec-07   194.21
11-Dec-07   188.54
12-Dec-07   190.86
13-Dec-07   191.83
14-Dec-07   190.39
17-Dec-07   184.40
18-Dec-07   182.98
19-Dec-07   183.12
20-Dec-07   187.21
21-Dec-07   193.91
24-Dec-07   198.80
26-Dec-07   198.95
27-Dec-07   198.57
28-Dec-07   199.83
31-Dec-07   198.08
2-Jan-08    194.84
3-Jan-08    194.93
4-Jan-08    180.05
7-Jan-08    177.64
8-Jan-08    171.25
9-Jan-08    179.40
10-Jan-08   178.02
11-Jan-08   172.69
14-Jan-08   178.78
15-Jan-08   169.04
16-Jan-08   159.64
17-Jan-08   160.89
18-Jan-08   161.36
22-Jan-08   155.64
23-Jan-08   139.07
24-Jan-08   135.60
25-Jan-08   130.01
28-Jan-08   130.01
29-Jan-08   131.54
30-Jan-08   132.18
31-Jan-08   135.36
1-Feb-08    133.75
4-Feb-08    131.65
5-Feb-08    129.36
6-Feb-08    122.00
7-Feb-08    121.24
8-Feb-08    125.48
11-Feb-08   129.45
12-Feb-08   124.86
13-Feb-08   129.40
14-Feb-08   127.46
15-Feb-08   124.63
19-Feb-08   122.18
20-Feb-08   123.82
21-Feb-08   121.54
22-Feb-08   119.46
25-Feb-08   119.74
26-Feb-08   119.15
27-Feb-08   122.96
28-Feb-08   129.91
29-Feb-08   125.02
3-Mar-08    121.73
4-Mar-08    124.62
5-Mar-08    124.49
6-Mar-08    120.93
7-Mar-08    122.25
10-Mar-08   119.69
11-Mar-08   127.35
12-Mar-08   126.03
13-Mar-08   127.94
14-Mar-08   126.61
17-Mar-08   126.73
18-Mar-08   132.82
19-Mar-08   129.67
20-Mar-08   133.27
24-Mar-08   139.53
25-Mar-08   140.98
26-Mar-08   145.06
27-Mar-08   140.25
28-Mar-08   143.01
31-Mar-08   143.50
1-Apr-08    149.53
2-Apr-08    147.49
3-Apr-08    151.61
4-Apr-08    153.08
7-Apr-08    155.89
8-Apr-08    152.84
9-Apr-08    151.44
10-Apr-08   154.55
11-Apr-08   147.14
14-Apr-08   147.78
15-Apr-08   148.38
16-Apr-08   153.70
17-Apr-08   154.49
18-Apr-08   161.04
21-Apr-08   168.16
22-Apr-08   160.20
23-Apr-08   162.89
24-Apr-08   168.94
25-Apr-08   169.73
28-Apr-08   172.24
29-Apr-08   175.05
30-Apr-08   173.95
1-May-08    180.00
2-May-08    180.94
5-May-08    184.73
89.43
6-Jun-08    185.64
9-Jun-08    181.61
10-Jun-08   185.64
11-Jun-08   180.81
12-Jun-08   173.26
13-Jun-08   172.37
16-Jun-08   176.84
17-Jun-08   181.43
18-Jun-08   178.75
19-Jun-08   180.90
20-Jun-08   175.27
23-Jun-08   173.16
24-Jun-08   173.25
25-Jun-08   177.39
26-Jun-08   168.26
27-Jun-08   170.09
30-Jun-08   167.44
1-Jul-08    174.68
2-Jul-08    168.18
3-Jul-08    170.12
7-Jul-08    175.16
8-Jul-08    179.55
9-Jul66.19
3-Sep-08    166.96
4-Sep-08    161.22
5-Sep-08    160.18
8-Sep-08    157.92
9-Sep-08    151.68
10-Sep-08   151.61
11-Sep-08   152.65
12-Sep-08   148.94
15-Sep-08   140.36
16-Sep-08   139.88
17-Sep-08   127.83
18-Sep-08   134.09
19-Sep-08   140.91
22-Sep-08   131.05
23-Sep-08   126.84
24-Sep-08   128.71
25-Sep-08   131.93
26-Sep-08   128.24
29-Sep-08   105.26
30-Sep-08   113.66
1-Oct-08    109.12
2-Oct-08    100.10
3-Oct-08    97.07
6-Oct-08    98.14
7-Oct-08    89.16
8-Oct-08    89.79
9-Oct-08    88.74
10-Oct-08   96.80
13-Oct-08   110.26
14-Oct-08   104.08
15-Oct-08   97.95
16-Oct-08   101.89
17-Oct-08   97.40
20-Oct-08   98.44
21-Oct-08   91.49
22-Oct-08   96.87
23-Oct-08   98.23
24-Oct-08   96.38
27-92.67
1-Dec-08    88.93
2-Dec-08    92.47
3-Dec-08    95.90
4-Dec-08    91..37
4-Mar-09    91.17
5-Mar-09    88.84
6-Mar-09    85.30
9-Mar-09    83.11
10-Mar-09   88.63
11-Mar-09   92.68
12-Mar-09   96.35
13-Mar-09   95.93
16-Mar-09   95.42
17-Mar-09   99.66
18-Mar-09   101.52
19-Mar-09   101.62
20-Mar-09   101.59
23-Mar-09   107.66
24-Mar-09   106.50
25-Mar-09   106.49
26-Mar-09   109.87
27-Mar-09   106.85
30-Mar-09   104.49
31-Mar-09   105.12
1-Apr-09    108.69
2-Apr-09    112.71
3-Apr-09    115.99
6-Apr-09    118.45
7-Apr-09    115.00
8-Apr-09    116.32
9-Apr-09    119.57
10-Apr-09   119.57
13-Apr-09   120.22
14-Apr-09   118.31
15-Apr-09   19  135.81
1-Jun-09    139.35
2-Jun-09    139.49
3-Jun-09    140.95
4-Jun-09    143.74
5-Jun-09    144.67
8-Jun-09    143.85
9-Jun-09    142.72
10-Jun-09   140.25
11-Jun-09   139.95
12-Jun-09   136.97
15-Jun-09   136.09
16-Jun-09   136.35
17-Jun-09   135.58
18-Jun-09   135.88
19-Jun-09   139.48
22-Jun-09   137.37
23-Jun-09   134.01
24-Jun-09   136.22
25-Jun-09   139.86
26-Jun-09   142.44
29-Jun-09   141.97
30-Jun-09   142.43
1-9.40
26-Aug-09   167.41
27-Aug-09   169.45
28-Aug-09   170.05
31-Aug-09   168.21
1-Sep-09    165.30
2-Sep-09    165.18
3-Sep-09    166.55
4-Sep-09    170.31
8-Sep-09    172.93
9-Sep-09    171.14
10-Sep-09   172.56
11-Sep-09   172.16
14-Sep-09   173.72
15-Sep-09   175.16
16-Sep-09   181.87
17-Sep-09   184.55
18-Sep-09   185.02
21-Sep-09   184.02
22-Sep-09   184.48
23-Sep-09   185.50
24-Sep-09   183.82
25-Sep-09   182.37
28-Sep-09   186.15
29-Sep-09   185.38
30-Sep-09   185.35
1-Oct-09    180.86
2-Oct-09    184.90
5-Oct-09    186.02
6-Oct-09    190.01
7-Oct-09    190.25
8-Oct-09    189.27
9-Oct-09    190.47
12-Oct-09   190.81
13-Oct-09   190.02
14-Oct-09   191.29
15-Oct-09   190.56
16-Oct-09   188.05
19-Oct-09eb-10  200.38
16-Feb-10   203.40
17-Feb-10   202.55
18-Feb-10   202.93
19-Feb-10   201.67
22-Feb-10   200.42
23-Feb-10   197.06
24-Feb-10   200.66
25-Feb-10   202.00
26-Feb-10   204.62
1-Mar-10    208.99
2-Mar-10    256.52
12-May-10   262.09
13-May-10   258.36
14-May-10   253.82
17-May-10   254.22
18-May-10   252.36
19-May-10   248.34
20-May-10   237.76
21-May-10   242.32
24-May-10   246.76
25-May-10   245.22
26-May-10   244.11
27-May-10   253.35
28-May-10   256.88
31-May-10   256.88
1-Jun-10    260.83
2-Jun-10    263.95
3-Jun-10    263.12
4-Jun-10    255.96
7-Jun-10    250.94
8-Jun-10    249.33
9-Jun-10    243.20
10-Jun-10   250.51
11-Jun-10   253.51
14-Jun-10   254.28
15-Jun-10   259.69
16-Jun-10   267.262.98
5-Aug-10    261.70
6-Aug-10    260.09
9-Aug-10    261.75
10-Aug-10   259.41
11-Aug-10   250.19
12-Aug-10   251.79
13-Aug-10   249.10
16-Aug-10   247.64
17-Aug-10   251.97
18-Aug-10   253.07
19-Aug-10   249.88
20-Aug-10   249.64
23-Aug-10   245.80
24-Aug-10   239.93
25-Aug-10   242.89
26-Aug-10   240.28
27-Aug-10   241.62
30-Aug-10   242.50
31-Aug-10   243.10
1-Sep-10    250.33
2-Sep-10    252.17
3-Sep-10    258.77
6-S05.24
29-Oct-10   300.98
1-Nov-10    304.18
2-Nov-10    309.36
3-Nov-10    312.80
4-Nov-10    318.27
5-Nov-10    317.13
8-Nov-10    318.62
9-Nov-10    316.08
10-Nov-10   318.03
11-Nov-10   316.66
12-Nov-10   308.03
15-Nov-10   307.04
16-Nov-10   301.59
17-Nov-10   300.50
18-Nov-10   308.43
19-Nov-10   306.73
22-Nov-10   313.36
23-Nov-10   308.73
24-Nov-10   314.80
26-Nov-10   315.00
29-Nov-10   316.87
30-Nov-10   311.15
1-Dec-10    316.40
2-Dec-10    318.15
3-Dec-10    317.44
6-Dec-10    320.15
7-Dec-10    318.21
8-Dec-10    321.01
9-Dec-10    319.76
10-Dec-10   320.56
13-Dec-10   321.67
14-Dec-10   320.29
15-Dec-10   320.36
16-Dec-10   321.25
17-Dec-10   320.61
20-Dec-10   322.21
21-Dec-10   324.20
22-Dec-10   325.16
23-Dec-10   323.60
27-Dec-10   324.68
28-Dec-10   325.47
29-Dec-10   325.29
30-Dec-10   323.66
31-Dec-10   322.56
3-Jan-11    329.57
-11 393.30
25-Jul-11   398.50
26-Jul-11   403.41
27-Jul-11   392.59
28-Jul-11   391.82
29-Jul-11   390.48
1-Aug-11    396.75
2-Aug-11    388.91
3-Aug-11    392.57
4-Aug-11    377.37
5-Aug-11    373.62
8-Aug-11    353.21
9-Aug-11    374.01
10-Aug-11   363.69
11-Aug-11   373.70
12-Aug-11       422.24
19-Oct-11   398.62
20-Oct-11   395.31
21-Oct-11   392.87
24-Oct-11   405.77
25-Oct-11   397.77
26-Oct-11   400.60
27-Oct-11   404.69
28-Oct-11   404.95
31-Oct-11   404.78
1-Nov-11    396.51
2-Nov-11    397.41
3-Nov-11    403.07
4-Nov-11    400.24
7-Nov-11    399.73
8-Nov-11    406.23
9-Nov-11    395.28
10-Nov-11   385.22
11-Nov-11   384.62
14-Nov-11   379.26
15-Nov-11   388.83
16-Nov-11   384.77
17-Nov-11   377.41
18-.70
18-Jan-12   429.11
19-Jan-12   427.75
20-Jan-12   420.30
23-Jan-12   427.41
24-Jan-12   420.41
25-Jan-12   446.66
26-Jan-12   444.63
27-Jan-12   447.28
30-Jan-12   453.01
31-Jan-12   456.48
1-Feb-12    456.19
2-Feb-12    455.12
3-Feb-12    459.68
6-Feb-12    463.97
7-Feb-12    468.816-Apr-12  580.13
17-Apr-12   609.70
18-Apr-12   608.34
19-Apr-12   587.44
20-Apr-12   572.98
23-Apr-12   571.70
24-Apr-12   560.28
25-Apr-12   610.00
26-Apr-12   607.70
27-Apr-12   603.00
30-Apr-12   583.98
1-May-12    582.13

